Sepal.Length_ef,Sepal.Width_ef,Petal.Length_ef,Petal.Width_ef,Species
3,10,1,0,setosa
1,5,1,0,setosa
0,7,0,0,setosa
0,6,2,0,setosa
2,11,1,0,setosa
4,12,4,2,setosa
0,9,1,1,setosa
2,9,2,0,setosa
0,4,1,0,setosa
1,6,2,0,setosa
4,11,2,0,setosa
1,9,3,0,setosa
1,5,1,0,setosa
0,5,0,0,setosa
7,12,0,0,setosa
6,12,2,2,setosa
4,12,0,2,setosa
3,10,1,1,setosa
6,11,4,1,setosa
3,11,2,1,setosa
4,9,4,0,setosa
3,11,2,2,setosa
0,11,0,0,setosa
3,8,4,2,setosa
1,9,4,0,setosa
2,5,3,0,setosa
2,9,3,2,setosa
4,10,2,0,setosa
4,9,1,0,setosa
0,7,3,0,setosa
1,6,3,0,setosa
4,9,2,2,setosa
4,12,2,0,setosa
5,12,1,0,setosa
1,6,2,0,setosa
2,7,0,0,setosa
5,10,0,0,setosa
1,11,1,0,setosa
0,5,0,0,setosa
3,9,2,0,setosa
2,10,0,1,setosa
0,0,0,1,setosa
0,7,0,0,setosa
2,10,3,2,setosa
3,11,4,2,setosa
1,5,1,1,setosa
3,11,3,0,setosa
0,7,1,0,setosa
4,11,2,0,setosa
2,8,1,0,setosa
13,7,9,5,versicolor
10,7,7,6,versicolor
13,6,9,6,versicolor
5,0,6,4,versicolor
11,3,8,6,versicolor
6,3,7,4,versicolor
9,8,9,7,versicolor
1,0,5,3,versicolor
12,4,8,4,versicolor
4,2,5,5,versicolor
2,0,5,3,versicolor
8,5,6,6,versicolor
8,0,6,3,versicolor
8,4,9,5,versicolor
5,4,5,4,versicolor
12,6,7,5,versicolor
5,5,7,6,versicolor
7,2,6,3,versicolor
9,0,7,6,versicolor
5,1,5,3,versicolor
8,7,9,8,versicolor
8,3,6,4,versicolor
9,1,9,6,versicolor
8,3,9,4,versicolor
10,4,7,4,versicolor
12,5,7,5,versicolor
13,3,9,5,versicolor
12,5,10,8,versicolor
8,4,7,6,versicolor
6,1,5,3,versicolor
5,0,5,3,versicolor
5,0,5,3,versicolor
7,2,5,4,versicolor
8,2,10,7,versicolor
4,5,7,6,versicolor
8,9,7,7,versicolor
12,6,9,6,versicolor
9,0,7,4,versicolor
5,5,6,4,versicolor
5,1,6,4,versicolor
5,1,7,4,versicolor
8,5,8,5,versicolor
7,1,6,4,versicolor
2,0,5,3,versicolor
5,2,6,4,versicolor
6,5,6,4,versicolor
6,4,6,4,versicolor
9,4,7,4,versicolor
3,1,5,3,versicolor
6,3,6,4,versicolor
9,8,13,12,virginica
7,2,10,9,virginica
13,5,13,10,virginica
9,4,12,8,virginica
11,5,13,11,virginica
14,5,14,10,virginica
1,1,7,8,virginica
14,4,14,8,virginica
12,1,13,8,virginica
13,11,14,12,virginica
11,7,10,10,virginica
10,2,11,9,virginica
13,5,12,10,virginica
6,1,10,10,virginica
7,3,10,12,virginica
10,7,11,11,virginica
11,5,12,8,virginica
14,11,14,11,virginica
14,1,14,11,virginica
8,0,10,6,virginica
13,7,13,11,virginica
5,3,9,10,virginica
14,3,14,10,virginica
9,2,9,8,virginica
12,8,13,10,virginica
13,7,13,8,virginica
9,3,9,8,virginica
8,5,9,8,virginica
10,3,12,10,virginica
13,5,13,7,virginica
14,3,14,9,virginica
14,11,14,10,virginica
10,3,12,11,virginica
9,3,10,6,virginica
8,1,12,5,virginica
14,5,14,11,virginica
9,9,12,12,virginica
10,6,12,8,virginica
8,5,9,8,virginica
13,6,12,10,virginica
12,6,12,12,virginica
13,6,10,11,virginica
7,2,10,9,virginica
13,7,13,11,virginica
12,8,13,12,virginica
12,5,11,11,virginica
9,1,10,9,virginica
11,5,11,10,virginica
9,9,12,11,virginica
8,5,10,8,virginica
