Sepal.Length_ew,Sepal.Width_ew,Petal.Length_ew,Petal.Width_ew,Species
3,9,1,0,setosa
2,6,1,0,setosa
1,7,0,0,setosa
1,6,1,0,setosa
2,9,1,0,setosa
4,11,1,1,setosa
1,8,1,1,setosa
2,8,1,0,setosa
0,5,1,0,setosa
2,6,1,0,setosa
4,10,1,0,setosa
2,8,1,0,setosa
2,6,1,0,setosa
0,6,0,0,setosa
6,12,0,0,setosa
5,14,1,1,setosa
4,11,0,1,setosa
3,9,1,1,setosa
5,11,1,1,setosa
3,11,1,1,setosa
4,8,1,0,setosa
3,10,1,1,setosa
1,9,0,0,setosa
3,8,1,2,setosa
2,8,2,0,setosa
2,6,1,0,setosa
2,8,1,1,setosa
3,9,1,0,setosa
3,8,1,0,setosa
1,7,1,0,setosa
2,6,1,0,setosa
4,8,1,1,setosa
3,13,1,0,setosa
4,13,1,0,setosa
2,6,1,0,setosa
2,7,0,0,setosa
4,9,0,0,setosa
2,9,1,0,setosa
0,6,0,0,setosa
3,8,1,0,setosa
2,9,0,1,setosa
0,1,0,1,setosa
0,7,0,0,setosa
2,9,1,3,setosa
3,11,2,1,setosa
2,6,1,1,setosa
3,11,1,0,setosa
1,7,1,0,setosa
4,10,1,0,setosa
2,8,1,0,setosa
11,7,9,8,versicolor
8,7,8,8,versicolor
10,6,9,8,versicolor
4,1,7,7,versicolor
9,4,9,8,versicolor
5,4,8,7,versicolor
8,8,9,9,versicolor
2,2,5,5,versicolor
9,5,9,7,versicolor
3,4,7,8,versicolor
2,0,6,5,versicolor
6,6,8,8,versicolor
7,1,7,5,versicolor
7,5,9,8,versicolor
5,5,6,7,versicolor
9,6,8,8,versicolor
5,6,8,8,versicolor
6,4,7,5,versicolor
7,1,8,8,versicolor
5,3,7,6,versicolor
6,7,9,10,versicolor
7,4,7,7,versicolor
8,3,9,8,versicolor
7,4,9,6,versicolor
8,5,8,7,versicolor
9,6,8,8,versicolor
10,4,9,8,versicolor
9,6,10,9,versicolor
7,5,8,8,versicolor
5,3,6,5,versicolor
4,2,7,6,versicolor
4,2,6,5,versicolor
6,4,7,6,versicolor
7,4,10,9,versicolor
4,6,8,8,versicolor
7,8,8,9,versicolor
9,6,9,8,versicolor
8,1,8,7,versicolor
5,6,7,7,versicolor
4,3,7,7,versicolor
4,3,8,6,versicolor
7,6,9,8,versicolor
6,3,7,6,versicolor
2,1,5,5,versicolor
5,4,8,7,versicolor
5,6,8,6,versicolor
5,5,8,7,versicolor
7,5,8,7,versicolor
3,3,5,6,versicolor
5,4,7,7,versicolor
8,8,12,14,virginica
6,4,10,11,virginica
11,6,12,12,virginica
8,5,11,10,virginica
9,6,12,13,virginica
13,6,14,12,virginica
2,3,8,9,virginica
12,5,13,10,virginica
9,3,12,10,virginica
12,9,12,14,virginica
9,7,10,11,virginica
8,4,10,11,virginica
10,6,11,12,virginica
5,3,10,11,virginica
6,4,10,14,virginica
8,7,10,13,virginica
9,6,11,10,virginica
14,11,14,13,virginica
14,3,14,13,virginica
7,1,10,8,virginica
10,7,11,13,virginica
5,4,9,11,virginica
14,4,14,11,virginica
8,4,9,10,virginica
9,8,11,12,virginica
12,7,12,10,virginica
7,4,9,10,virginica
7,6,9,10,virginica
8,4,11,12,virginica
12,6,12,9,virginica
12,4,12,11,virginica
14,11,13,11,virginica
8,4,11,13,virginica
8,4,10,8,virginica
7,3,11,8,virginica
14,6,12,13,virginica
8,8,11,14,virginica
8,6,11,10,virginica
7,6,9,10,virginica
10,6,11,12,virginica
9,6,11,14,virginica
10,6,10,13,virginica
6,4,10,11,virginica
10,7,12,13,virginica
9,8,11,14,virginica
9,6,10,13,virginica
8,3,10,11,virginica
9,6,10,11,virginica
7,8,11,13,virginica
6,6,10,10,virginica
